step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
29064,173,-94.6568,164719.88,0.07304,91.00,0.036701,0.5398,
29232,174,-81.6465,135901.93,0.03241,71.75,0.038669,0.5372,
29400,175,-95.0228,180886.51,0.02607,83.50,0.059603,0.5345,
29568,176,-66.3772,118701.17,0.06823,71.75,0.040122,0.5318,
29736,177,-66.1609,122773.06,0.03432,66.50,0.054540,0.5292,
29904,178,-87.9081,170529.01,0.02104,77.00,0.052482,0.5265,
30000,178,,,,,,,-71.4103
30072,179,-64.8624,116131.26,0.04683,65.50,0.049991,0.5239,
30240,180,-67.9434,122323.79,0.04027,67.50,0.050403,0.5212,
30408,181,-69.4986,130100.60,0.05515,80.00,0.049668,0.5185,
30576,182,-69.4451,123083.82,0.06927,83.00,0.058571,0.5159,
30744,183,-65.2671,121218.69,0.07801,82.50,0.046857,0.5132,
30912,184,-72.6475,135690.21,0.03779,72.75,0.069063,0.5106,
31080,185,-81.8995,126811.19,0.04940,78.00,0.041421,0.5079,
31248,186,-69.4228,129989.00,0.03141,71.50,0.070039,0.5052,
31416,187,-68.7767,115308.51,0.06968,73.25,0.050798,0.5026,
31584,188,-64.6821,116903.14,0.06515,74.50,0.045604,0.4999,
31752,189,-63.9757,121703.58,0.04185,68.00,0.031179,0.4973,
31920,190,-76.1614,134456.62,0.04223,75.00,0.056190,0.4946,
32088,191,-67.8523,111637.43,0.06655,75.50,0.049184,0.4919,
32256,192,-98.0689,170189.72,0.04498,86.75,0.039135,0.4893,
32424,193,-66.1729,122560.52,0.04140,67.75,0.041957,0.4866,
32592,194,-67.4668,122115.84,0.05091,69.50,0.052744,0.4840,
32760,195,-70.7668,129854.30,0.04167,71.00,0.053419,0.4813,
32928,196,-66.6923,116883.39,0.04251,67.00,0.045209,0.4786,
33096,197,-63.4370,114836.21,0.07827,82.25,0.058124,0.4760,
33264,198,-66.1050,124705.20,0.04448,72.25,0.039264,0.4733,
33432,199,-72.3206,130646.55,0.05988,78.75,0.060606,0.4707,
33600,200,-63.1725,114613.35,0.07307,79.00,0.072420,0.4680,
33768,201,-61.7139,113145.02,0.05545,70.25,0.042131,0.4653,
33936,202,-75.3696,119588.37,0.07514,75.75,0.049650,0.4627,
34104,203,-88.2428,169923.28,0.03512,80.75,0.037612,0.4600,
34272,204,-92.0685,171940.86,0.02831,79.50,0.054819,0.4574,
34440,205,-62.7655,113729.04,0.06175,71.25,0.054143,0.4547,
34608,206,-63.6494,115627.60,0.04910,67.75,0.051398,0.4520,
34776,207,-65.1334,122028.32,0.04915,71.25,0.055355,0.4494,
