step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
25032,149,-72.2788,132372.06,0.03291,71.00,0.036047,0.6037,
25200,150,-96.2333,175413.03,0.03990,87.25,0.036576,0.6010,
25368,151,-74.5876,131988.09,0.05029,79.75,0.045806,0.5983,
25536,152,-74.1660,137189.53,0.04122,78.25,0.033886,0.5957,
25704,153,-98.3681,181990.73,0.04232,86.00,0.041695,0.5930,
25872,154,-77.4438,134542.50,0.04525,78.50,0.041317,0.5904,
26040,155,-76.3811,135899.21,0.02804,73.00,0.051474,0.5877,
26208,156,-101.7755,171630.08,0.02911,81.75,0.052057,0.5850,
26376,157,-71.2196,125082.09,0.04922,72.25,0.057696,0.5824,
26544,158,-73.3358,131557.16,0.01449,63.75,0.036233,0.5797,
26712,159,-101.7300,177868.28,0.04031,84.50,0.046355,0.5771,
26880,160,-72.0095,128432.89,0.02733,68.00,0.039098,0.5744,
27048,161,-85.6882,129859.43,0.03976,74.50,0.048316,0.5717,
27216,162,-73.5047,135038.50,0.03744,76.00,0.050017,0.5691,
27384,163,-71.7343,131097.25,0.02605,68.50,0.052208,0.5664,
27552,164,-74.2847,128077.60,0.03581,69.25,0.041798,0.5638,
27720,165,-76.3750,137777.20,0.04411,75.75,0.046586,0.5611,
27888,166,-103.2633,189058.99,0.03512,88.25,0.043276,0.5584,
28056,167,-78.0794,137683.18,0.03230,76.00,0.030776,0.5558,
28224,168,-71.3136,123895.44,0.05292,72.75,0.039933,0.5531,
28392,169,-72.4983,125780.18,0.04082,71.25,0.062645,0.5505,
28560,170,-95.8149,173008.60,0.02693,79.00,0.041752,0.5478,
28728,171,-96.5605,175442.45,0.02394,79.50,0.035516,0.5451,
28896,172,-91.2688,127825.19,0.05295,77.25,0.053505,0.5425,
29064,173,-103.8610,160997.55,0.07668,95.25,0.036648,0.5398,
29232,174,-88.4861,133749.15,0.04291,76.50,0.049506,0.5372,
29400,175,-100.7544,180952.04,0.01943,83.75,0.061858,0.5345,
29568,176,-74.8221,119447.25,0.05657,71.25,0.054966,0.5318,
29736,177,-70.1794,126744.39,0.01348,63.00,0.039709,0.5292,
29904,178,-92.4617,171033.33,0.03102,82.50,0.054438,0.5265,
30000,178,,,,,,,-77.9597
30072,179,-69.8253,118793.91,0.02806,61.25,0.057271,0.5239,
30240,180,-71.4296,127509.06,0.03014,65.50,0.051830,0.5212,
30408,181,-74.7996,129020.45,0.03328,72.50,0.043266,0.5185,
30576,182,-71.7060,125257.65,0.04374,73.50,0.044392,0.5159,
30744,183,-73.8514,120788.60,0.07217,80.50,0.043370,0.5132,
30912,184,-77.6171,136069.63,0.02612,70.00,0.067651,0.5106,
31080,185,-84.9328,129515.98,0.04116,74.25,0.041697,0.5079,
31248,186,-73.4411,131529.31,0.02762,70.25,0.073400,0.5052,
31416,187,-71.8866,114107.50,0.04497,66.25,0.056857,0.5026,
31584,188,-71.0840,118772.53,0.04521,70.50,0.036492,0.4999,
31752,189,-72.7259,120506.13,0.04473,69.50,0.038109,0.4973,
31920,190,-80.4936,135019.38,0.03451,74.50,0.059099,0.4946,
32088,191,-74.9057,114820.71,0.05598,74.50,0.045639,0.4919,
32256,192,-104.6471,167470.43,0.03893,85.25,0.045086,0.4893,
32424,193,-73.6069,126893.44,0.03315,68.75,0.040300,0.4866,
32592,194,-72.8194,126991.29,0.04407,71.50,0.059296,0.4840,
32760,195,-75.0670,129284.78,0.04208,68.50,0.056077,0.4813,
32928,196,-74.5615,115118.74,0.04101,66.50,0.048759,0.4786,
33096,197,-68.3575,118352.35,0.05520,72.25,0.064622,0.4760,
33264,198,-70.3558,123342.20,0.03656,69.75,0.046086,0.4733,
33432,199,-75.8806,129504.38,0.05098,75.25,0.061340,0.4707,
33600,200,-69.8042,116809.23,0.04553,69.00,0.057266,0.4680,
33768,201,-67.4253,111039.07,0.03885,62.00,0.042394,0.4653,
