step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
20160,120,-99.7437,188543.04,0.02547,88.00,0.124941,0.6808,
20328,121,-69.1931,143054.85,0.02925,74.50,0.031175,0.6781,
20496,122,-75.4513,144331.49,0.04889,86.25,0.056153,0.6755,
20664,123,-77.6439,152748.99,0.04246,86.50,0.038381,0.6728,
20832,124,-71.1319,140047.81,0.02593,72.50,0.121273,0.6702,
21000,125,-98.1289,183804.05,0.04642,93.75,0.104290,0.6675,
21168,126,-72.5923,145123.27,0.03129,78.50,0.036862,0.6648,
21336,127,-72.2118,141137.86,0.05058,85.75,0.044847,0.6622,
21504,128,-80.4558,159084.73,0.04940,90.75,0.047599,0.6595,
21672,129,-73.4668,144889.75,0.01694,71.25,0.041421,0.6569,
21840,130,-75.6662,147662.38,0.04679,83.25,0.129806,0.6542,
22008,131,-74.7026,147417.86,0.02922,75.25,0.045416,0.6515,
22176,132,-72.9108,137504.40,0.05277,78.00,0.039674,0.6489,
22344,133,-74.6480,140000.30,0.06838,86.50,0.061881,0.6462,
22512,134,-74.0090,138262.92,0.04012,75.75,0.050641,0.6436,
22680,135,-82.7536,149988.13,0.05080,86.75,0.205704,0.6409,
22848,136,-70.6134,144209.01,0.02460,72.75,0.127606,0.6382,
23016,137,-73.5614,146701.83,0.01499,73.75,0.038175,0.6356,
23184,138,-93.0181,179928.96,0.03809,86.75,0.114515,0.6329,
23352,139,-78.8761,150330.92,0.03142,79.00,0.037788,0.6303,
23520,140,-71.2199,144071.06,0.05078,79.50,0.032683,0.6276,
23688,141,-72.1833,143662.87,0.04420,81.25,0.027742,0.6249,
23856,142,-98.1530,191687.43,0.01375,85.00,0.117721,0.6223,
24024,143,-69.5245,136543.26,0.04883,77.25,0.120985,0.6196,
24192,144,-75.2620,140178.42,0.04650,80.75,0.053302,0.6170,
24360,145,-94.7056,184837.25,0.03761,88.25,0.041555,0.6143,
24528,146,-73.2097,137042.95,0.03921,74.75,0.049460,0.6116,
24696,147,-73.2402,142204.21,0.06314,84.25,0.119969,0.6090,
24864,148,-74.3901,148781.57,0.03431,80.00,0.049657,0.6063,
25000,148,,,,,,,-63.9232
25032,149,-68.9721,136506.83,0.05118,81.75,0.051607,0.6037,
25200,150,-95.4055,178576.20,0.03894,90.25,0.058644,0.6010,
25368,151,-67.9986,136651.59,0.02935,73.75,0.120697,0.5983,
25536,152,-69.4820,132546.24,0.02871,69.00,0.037551,0.5957,
25704,153,-92.5469,178032.66,0.06069,93.50,0.059416,0.5930,
25872,154,-71.4267,139480.80,0.04861,79.50,0.041285,0.5904,
26040,155,-72.1745,140107.76,0.02643,74.50,0.122007,0.5877,
26208,156,-95.0287,181856.73,0.05279,96.50,0.040723,0.5850,
26376,157,-68.8008,137112.68,0.04236,77.25,0.056654,0.5824,
26544,158,-70.8568,141884.99,0.03448,75.75,0.033808,0.5797,
26712,159,-97.6267,177593.86,0.05393,90.25,0.126244,0.5771,
26880,160,-70.4448,133756.72,0.03315,70.00,0.045424,0.5744,
27048,161,-77.9265,141613.22,0.04573,79.50,0.124081,0.5717,
27216,162,-70.0068,137315.97,0.04956,78.25,0.058180,0.5691,
27384,163,-70.2823,141167.82,0.02507,75.50,0.123274,0.5664,
27552,164,-68.9401,131020.59,0.02636,69.25,0.117270,0.5638,
27720,165,-70.3790,144026.07,0.02676,75.50,0.051667,0.5611,
27888,166,-98.3979,189584.19,0.03111,92.00,0.035661,0.5584,
28056,167,-76.9633,145282.91,0.03445,77.75,0.033831,0.5558,
28224,168,-69.8683,128973.24,0.05524,76.50,0.058420,0.5531,
28392,169,-72.6891,133872.40,0.07021,85.00,0.131838,0.5505,
28560,170,-90.6509,173005.50,0.03578,81.25,0.049303,0.5478,
28728,171,-97.7451,176530.28,0.03239,83.00,0.044688,0.5451,
28896,172,-83.3313,135622.32,0.05610,84.25,0.122704,0.5425,
29064,173,-92.6038,167402.94,0.06695,93.00,0.053040,0.5398,
29232,174,-80.9970,145450.53,0.02665,75.75,0.049786,0.5372,
29400,175,-97.5338,175792.95,0.04306,88.75,0.052456,0.5345,
29568,176,-67.7452,117710.49,0.05326,68.25,0.126802,0.5318,
