step,episode,episode_return,episode_wue,loss,epsilon,eval_return
37632,224,-54.8076,113260.12,0.052744,0.4042,
37800,225,-53.2340,104332.79,0.058186,0.4015,
37968,226,-56.0422,104434.72,0.048920,0.3988,
38136,227,-61.5472,120013.07,0.059483,0.3962,
38304,228,-85.1170,173941.64,0.038992,0.3935,
38472,229,-52.7758,111485.52,0.056783,0.3909,
38640,230,-85.6229,159680.23,0.037575,0.3882,
38808,231,-81.3777,161275.48,0.050536,0.3855,
38976,232,-82.3259,174511.10,0.054286,0.3829,
39144,233,-62.7788,120139.45,0.049865,0.3802,
39312,234,-64.7871,121332.33,0.043133,0.3776,
39480,235,-55.0063,108104.92,0.049318,0.3749,
39648,236,-81.4560,171728.65,0.055707,0.3722,
39816,237,-54.5199,112014.11,0.048145,0.3696,
39984,238,-50.8328,102924.89,0.045447,0.3669,
40000,238,,,,,-56.8486
40152,239,-51.8496,110403.63,0.046175,0.3643,
40320,240,-56.0750,113648.11,0.044706,0.3616,
40488,241,-53.5874,110318.90,0.039805,0.3589,
40656,242,-78.2234,162959.40,0.037934,0.3563,
40824,243,-63.9436,130545.49,0.043013,0.3536,
40992,244,-54.9841,104835.01,0.043060,0.3510,
41160,245,-51.2782,107466.09,0.035515,0.3483,
41328,246,-83.7617,170169.58,0.031759,0.3456,
41496,247,-68.5522,123173.55,0.039118,0.3430,
41664,248,-54.8912,112893.18,0.061144,0.3403,
41832,249,-50.9808,103245.98,0.065897,0.3377,
42000,250,-76.9313,145540.65,0.052213,0.3350,
42168,251,-82.4523,161334.96,0.046768,0.3323,
42336,252,-76.3198,155403.20,0.038128,0.3297,
42504,253,-78.1749,145676.29,0.040376,0.3270,
42672,254,-63.9195,113713.28,0.042046,0.3244,
42840,255,-80.8085,153209.74,0.046359,0.3217,
43008,256,-66.6307,112918.59,0.056908,0.3190,
43176,257,-51.3361,103164.28,0.064633,0.3164,
43344,258,-53.9007,106001.37,0.042143,0.3137,
43512,259,-79.7835,164455.13,0.048464,0.3111,
43680,260,-68.9181,121782.14,0.054984,0.3084,
43848,261,-52.8454,107265.28,0.031175,0.3057,
44016,262,-51.0399,103972.04,0.059558,0.3031,
44184,263,-53.3973,113581.81,0.048318,0.3004,
44352,264,-50.9428,98703.60,0.041696,0.2978,
44520,265,-50.1877,107983.47,0.045865,0.2951,
44688,266,-78.4774,157545.54,0.066446,0.2924,
44856,267,-53.4216,104069.35,0.032804,0.2898,
