step,episode,episode_return,episode_wue,loss,epsilon,eval_return
39816,237,-63.0057,112118.68,0.087275,0.3696,
39984,238,-63.1283,117029.19,0.074148,0.3669,
40000,238,,,,,-72.6352
40152,239,-64.9139,114498.83,0.088775,0.3643,
40320,240,-64.2937,113260.89,0.064260,0.3616,
40488,241,-68.7074,107916.35,0.048528,0.3589,
40656,242,-93.0500,165371.48,0.074595,0.3563,
40824,243,-76.8298,130484.49,0.066972,0.3536,
40992,244,-66.1222,114733.56,0.103159,0.3510,
41160,245,-62.9053,106897.13,0.057188,0.3483,
41328,246,-94.5443,168308.23,0.057137,0.3456,
41496,247,-77.8910,124399.14,0.085402,0.3430,
41664,248,-61.9612,108730.61,0.078476,0.3403,
41832,249,-60.0217,113426.39,0.082468,0.3377,
42000,250,-89.2547,162503.00,0.052330,0.3350,
42168,251,-92.4101,168492.45,0.075861,0.3323,
42336,252,-87.5288,153319.43,0.076959,0.3297,
42504,253,-96.1784,154618.04,0.046355,0.3270,
42672,254,-82.9662,107216.21,0.100747,0.3244,
42840,255,-89.4505,162735.81,0.061845,0.3217,
43008,256,-73.0605,124914.25,0.050607,0.3190,
43176,257,-59.5093,115117.79,0.077722,0.3164,
43344,258,-65.2070,101828.84,0.055086,0.3137,
43512,259,-92.2397,159282.59,0.067958,0.3111,
43680,260,-81.4041,107864.23,0.059643,0.3084,
43848,261,-60.5120,109038.53,0.067716,0.3057,
44016,262,-66.7569,125769.71,0.086385,0.3031,
44184,263,-62.7256,113129.31,0.051169,0.3004,
44352,264,-62.1636,104718.35,0.060132,0.2978,
44520,265,-62.0179,107487.63,0.068176,0.2951,
44688,266,-93.4269,157094.64,0.054376,0.2924,
44856,267,-62.7281,116902.66,0.054019,0.2898,
45000,267,,,,,-100.0205
45024,268,-59.7980,100030.93,0.054609,0.2871,
45192,269,-93.8203,159152.31,0.109211,0.2845,
45360,270,-67.9796,121858.15,0.062854,0.2818,
45528,271,-93.2297,159519.78,0.063977,0.2791,
45696,272,-66.4203,105208.35,0.072722,0.2765,
45864,273,-63.4008,105163.03,0.050880,0.2738,
46032,274,-62.8876,103669.68,0.110127,0.2712,
46200,275,-90.4029,169266.21,0.052482,0.2685,
46368,276,-77.8785,118017.65,0.080441,0.2658,
46536,277,-87.7662,156976.60,0.044438,0.2632,
46704,278,-74.8131,121165.55,0.074275,0.2605,
46872,279,-63.0643,118925.23,0.056800,0.2579,
47040,280,-57.4112,104495.28,0.051659,0.2552,
47208,281,-89.9236,158814.22,0.074878,0.2525,
47376,282,-61.0695,104337.26,0.060434,0.2499,
