step,episode,episode_return,episode_wue,loss,epsilon,eval_return
45528,271,-86.0118,159264.42,0.036814,0.2791,
45696,272,-62.5351,93011.28,0.051903,0.2765,
45864,273,-59.9275,97410.31,0.038774,0.2738,
46032,274,-57.2677,105845.92,0.056368,0.2712,
46200,275,-87.1583,161115.39,0.051320,0.2685,
46368,276,-71.1666,135969.56,0.058402,0.2658,
46536,277,-87.0752,162738.66,0.061243,0.2632,
46704,278,-69.4509,116708.24,0.059759,0.2605,
46872,279,-59.7960,102229.67,0.061382,0.2579,
47040,280,-59.0110,108834.36,0.038732,0.2552,
47208,281,-85.6810,167112.10,0.038947,0.2525,
47376,282,-55.1973,96793.93,0.052381,0.2499,
47544,283,-58.2181,94981.86,0.038888,0.2472,
47712,284,-87.2185,164623.65,0.056161,0.2446,
47880,285,-67.7340,114011.51,0.049217,0.2419,
48048,286,-57.4235,102635.34,0.045184,0.2392,
48216,287,-55.8889,97081.41,0.047467,0.2366,
48384,288,-61.1100,103337.49,0.059313,0.2339,
48552,289,-61.5514,104829.63,0.055807,0.2313,
48720,290,-87.8244,156196.06,0.036655,0.2286,
48888,291,-57.8988,97099.65,0.039186,0.2259,
49056,292,-56.9461,97620.01,0.055837,0.2233,
49224,293,-58.6063,105005.69,0.055404,0.2206,
49392,294,-91.0576,158091.00,0.062504,0.2180,
49560,295,-57.5355,96621.68,0.071988,0.2153,
49728,296,-58.2643,102817.55,0.057333,0.2126,
49896,297,-56.5369,104394.28,0.051412,0.2100,
50000,297,,,,,-70.3855
50064,298,-87.4069,158783.85,0.047727,0.2073,
50232,299,-84.3786,157774.64,0.054399,0.2047,
50400,300,-91.9085,173202.21,0.053206,0.2020,
50568,301,-56.1948,100291.29,0.051956,0.1993,
50736,302,-84.1131,164185.84,0.043601,0.1967,
50904,303,-70.5955,114362.60,0.055102,0.1940,
51072,304,-57.7315,104925.74,0.056095,0.1914,
51240,305,-55.7440,96233.88,0.053173,0.1887,
51408,306,-54.7979,87104.39,0.057875,0.1860,
51576,307,-68.7080,122965.46,0.059657,0.1834,
51744,308,-57.0736,99835.69,0.039258,0.1807,
51912,309,-54.0592,91345.82,0.055698,0.1781,
52080,310,-55.7855,105887.51,0.048321,0.1754,
52248,311,-55.0345,99816.21,0.059295,0.1727,
52416,312,-88.2370,172859.93,0.083935,0.1701,
52584,313,-53.4454,90692.40,0.060485,0.1674,
52752,314,-55.1531,99355.36,0.063244,0.1648,
52920,315,-84.1372,176525.77,0.040618,0.1621,
53088,316,-57.6602,94711.59,0.059514,0.1594,
53256,317,-60.2387,93080.24,0.056045,0.1568,
53424,318,-58.0666,98471.56,0.049803,0.1541,
53592,319,-65.0500,109758.61,0.055324,0.1515,
53760,320,-56.1756,92891.51,0.048079,0.1488,
53928,321,-56.5903,88687.41,0.049245,0.1461,
54096,322,-81.2630,154485.56,0.076818,0.1435,
54264,323,-60.4023,105965.44,0.059043,0.1408,
